ZSczzzC, 
 2022-07-12 11:06:47,212 - ebanking -INFO - URL is opened
2022-07-12 11:06:47,497 - ebanking -INFO - Entered Username
2022-07-12 11:06:47,987 - ebanking -INFO - Entered Password
2022-07-12 11:06:49,734 - ebanking -INFO - Login test passed
2022-07-13 14:23:23,625 - ebanking -INFO - URL is opened
2022-07-13 14:23:24,008 - ebanking -INFO - Entered Username
2022-07-13 14:23:24,313 - ebanking -INFO - Entered Password
2022-07-13 14:23:26,058 - ebanking -INFO - Login test passed
2022-07-13 15:23:57,844 - ebanking -INFO - URL is opened
2022-07-13 15:23:58,064 - ebanking -INFO - Entered Username
2022-07-13 15:23:58,126 - ebanking -INFO - Entered Password
2022-07-13 15:24:01,152 - ebanking -INFO - Login test passed
2022-07-13 15:36:48,680 - ebanking -INFO - URL is opened
2022-07-13 15:36:48,999 - ebanking -INFO - Entered Username
2022-07-13 15:36:49,102 - ebanking -INFO - Entered Password
2022-07-13 15:36:52,394 - ebanking -INFO - Login test passed
2022-07-13 15:43:07,210 - ebanking -INFO - URL is opened
2022-07-13 15:43:07,486 - ebanking -INFO - Entered Username
2022-07-13 15:43:07,604 - ebanking -INFO - Entered Password
2022-07-13 15:43:10,807 - ebanking -INFO - Login test passed
2022-07-13 15:50:01,652 - ebanking -INFO - URL is opened
2022-07-13 15:50:01,856 - ebanking -INFO - Entered Username
2022-07-13 15:50:01,925 - ebanking -INFO - Entered Password
2022-07-13 15:50:05,076 - ebanking -INFO - Login test passed
2022-07-13 15:54:14,743 - ebanking -INFO - URL is opened
2022-07-13 15:54:14,944 - ebanking -INFO - Entered Username
2022-07-13 15:54:15,002 - ebanking -INFO - Entered Password
2022-07-13 15:54:18,093 - ebanking -INFO - Login test passed
2022-07-14 11:10:31,972 - ebanking -INFO - URL is opened
2022-07-14 11:10:32,341 - ebanking -INFO - Entered Username
2022-07-14 11:10:32,462 - ebanking -INFO - Entered Password
2022-07-14 11:10:36,111 - ebanking -INFO - Login test passed
2022-07-14 11:28:07,061 - ebanking -INFO - URL is opened
2022-07-14 11:28:07,313 - ebanking -INFO - Entered Username
2022-07-14 11:28:07,421 - ebanking -INFO - Entered Password
2022-07-14 11:28:10,956 - ebanking -INFO - Login test failed
2022-07-14 11:34:27,876 - ebanking -INFO - URL is opened
2022-07-14 11:34:28,171 - ebanking -INFO - Entered Username
2022-07-14 11:34:28,248 - ebanking -INFO - Entered Password
2022-07-14 11:34:31,323 - ebanking -INFO - Login test failed
2022-07-14 11:40:12,676 - ebanking -INFO - URL is opened
2022-07-14 11:40:12,827 - ebanking -INFO - Entered Username
2022-07-14 11:40:12,861 - ebanking -INFO - Entered Password
2022-07-14 17:29:20,234 - ebanking -INFO - URL is opened
2022-07-14 17:35:13,153 - ebanking -INFO - URL is opened
2022-07-14 17:36:54,565 - ebanking -INFO - URL is opened
2022-07-15 10:59:16,871 - ebanking -INFO - URL is opened
2022-07-15 11:01:11,723 - ebanking -INFO - URL is opened
2022-07-15 11:01:12,980 - ebanking -INFO - Entered Username
2022-07-15 11:01:13,065 - ebanking -INFO - Entered Password
2022-07-15 11:03:01,026 - ebanking -INFO - URL is opened
2022-07-15 11:03:02,714 - ebanking -INFO - Entered Username
2022-07-15 11:03:02,833 - ebanking -INFO - Entered Password
2022-07-15 11:06:34,328 - ebanking -INFO - URL is opened
2022-07-15 11:06:35,842 - ebanking -INFO - Entered Username
2022-07-15 11:06:35,973 - ebanking -INFO - Entered Password
2022-07-15 11:10:04,604 - ebanking -INFO - URL is opened
2022-07-15 11:10:06,133 - ebanking -INFO - Entered Username
